Player,Role,Played,Played,Points,Points,Points,Serve,Serve,Serve,Serve,Serve,Reception,Reception,Reception,Reception,Reception,Reception,Attack,Attack,Attack,Attack,Attack,Attack,Block,Block,Block
Name,,Matches,Sets,Total Points,Side-Out,Break Point,Total Points,Ace,Error,Ace per Set,Efficiency,Total,Error,Negative,Excellent,Excellent %,Efficiency,Total Points,Error,Blocked,Excellent,Excellent %,Efficiency,Net,Points,Points per Set
Adela CHEVALIEROVA,Libero,6,11,0,0,0,0,0,0,0.0,0%,26,2,13,2,8%,-12%,2,0,0,0,0%,0%,0,0,0.0
Alexandra CIUCU,Libero,4,14,0,0,0,0,0,0,0.0,0%,130,13,35,34,26%,15%,0,0,0,0,0%,0%,0,0,0.0
Andra Elena COJOCARU,Libero,3,6,0,0,0,0,0,0,0.0,0%,48,5,20,11,23%,8%,0,0,0,0,0%,0%,0,0,0.0
Monica DE GENNARO,Libero,8,27,0,0,0,0,0,0,0.0,0%,57,5,6,26,46%,37%,0,0,0,0,0%,0%,0,0,0.0
Nel DEMEYER,Libero,2,2,0,0,0,0,0,0,0.0,0%,6,1,2,3,50%,33%,0,0,0,0,0%,0%,0,0,0.0
Thays DEPRATI,Libero,9,27,0,0,0,0,0,0,0.0,0%,131,10,39,33,25%,15%,0,0,0,0,0%,0%,0,0,0.0
Veronika DOSTALOVA,Libero,11,39,0,0,0,0,0,0,0.0,0%,155,4,62,29,19%,8%,2,0,2,0,0%,-100%,0,0,0.0
Alena FEDARYNCHYK,Libero,9,26,0,0,0,0,0,0,0.0,0%,22,3,6,5,23%,9%,0,0,0,0,0%,0%,0,0,0.0
Juliette GELIN,Libero,8,18,0,0,0,0,0,0,0.0,0%,29,3,5,13,45%,34%,0,0,0,0,0%,0%,0,0,0.0
Amandine GIARDINO,Libero,13,48,0,0,0,0,0,0,0.0,0%,237,26,58,73,31%,19%,0,0,0,0,0%,0%,0,0,0.0
Lisa-Marie HAGER,Libero,3,8,0,0,0,0,0,0,0.0,0%,43,2,4,29,67%,58%,0,0,0,0,0%,0%,0,0,0.0
Ditte Kjær HANSEN,Libero,2,2,0,0,0,0,0,0,0.0,0%,3,2,1,0,0%,-100%,0,0,0,0,0%,0%,0,0,0.0
Tamina HUBER,Libero,5,10,0,0,0,0,0,0,0.0,0%,48,9,14,15,31%,0%,0,0,0,0,0%,0%,0,0,0.0
Fjolla HYSENI,Libero,6,19,0,0,0,0,0,0,0.0,0%,73,5,22,12,16%,10%,0,0,0,0,0%,0%,0,0,0.0
Milica IVKOVIĆ,Libero,11,34,0,0,0,0,0,0,0.0,0%,184,20,33,59,32%,21%,0,0,0,0,0%,0%,0,0,0.0
Monika Katarzyna JAGŁA,Libero,7,25,0,0,0,0,0,0,0.0,0%,2,0,1,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Skarleta JANCOVA,Libero,7,16,0,0,0,0,0,0,0.0,0%,73,4,10,21,29%,23%,0,0,0,0,0%,0%,0,0,0.0
Leja JANEŽIČ,Libero,5,17,0,0,0,0,0,0,0.0,0%,95,8,28,28,29%,19%,3,0,2,0,0%,-67%,0,0,0.0
Dalma JUHÁR,Libero,6,11,0,0,0,0,0,0,0.0,0%,51,5,23,6,12%,-2%,0,0,0,0,0%,0%,0,0,0.0
Kadri KANGRO,Libero,1,1,0,0,0,0,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Galina KARABASHEVA,Libero,1,1,0,0,0,0,0,0,0.0,0%,1,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Yuliya KARIMOVA,Libero,5,16,0,0,0,0,0,0,0.0,0%,80,19,14,25,31%,8%,0,0,0,0,0%,0%,0,0,0.0
Kirsten KNIP,Libero,2,4,0,0,0,0,0,0,0.0,0%,8,0,2,3,38%,38%,0,0,0,0,0%,0%,0,0,0.0
Flavia KNUTTI,Libero,4,10,0,0,0,0,0,0,0.0,0%,54,8,17,3,6%,-11%,0,0,0,0,0%,0%,0,0,0.0
Netta LAAKSONEN,Libero,10,36,0,0,0,0,0,0,0.0,0%,225,12,83,51,23%,16%,0,0,0,0,0%,0%,0,0,0.0
Patricia LLABRÉS,Libero,7,13,0,0,0,0,0,0,0.0,0%,54,2,9,27,50%,44%,0,0,0,0,0%,0%,0,0,0.0
Gabriella LUNDVALL,Libero,3,6,0,0,0,0,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Ema MAGDINOVA,Libero,3,8,0,0,0,0,0,0,0.0,0%,32,1,8,12,38%,28%,0,0,0,0,0%,0%,0,0,0.0
Anja MAZEJ,Libero,4,10,0,0,0,0,0,0,0.0,0%,41,3,12,9,22%,5%,1,0,0,0,0%,0%,0,0,0.0
Krystyna NIEMTSEVA,Libero,10,35,0,0,0,0,0,0,0.0,0%,153,10,32,54,35%,25%,0,0,0,0,0%,0%,0,0,0.0
Kristi NÕLVAK,Libero,4,15,0,0,0,0,0,0,0.0,0%,51,10,11,9,18%,-2%,0,0,0,0,0%,0%,0,0,0.0
Anna OBERHAUSER,Libero,4,5,0,0,0,0,0,0,0.0,0%,10,2,1,3,30%,10%,0,0,0,0,0%,0%,0,0,0.0
Viktoryia PANASENKA,Libero,10,33,0,0,0,0,0,0,0.0,0%,142,10,40,30,21%,8%,0,0,0,0,0%,0%,0,0,0.0
Beatrice PARROCCHIALE,Libero,4,10,0,0,0,0,0,0,0.0,0%,11,1,1,1,9%,0%,0,0,0,0,0%,0%,0,0,0.0
Laura PENTTILÄ,Libero,2,2,0,0,0,0,0,0,0.0,0%,13,1,5,1,8%,0%,0,0,0,0,0%,0%,0,0,0.0
Daria PILIPENKO,Libero,7,27,0,0,0,0,0,0,0.0,0%,99,15,20,42,42%,27%,0,0,0,0,0%,0%,0,0,0.0
Anna POGANY,Libero,6,23,0,0,0,0,0,0,0.0,0%,133,7,34,43,32%,26%,0,0,0,0,0%,0%,0,0,0.0
Silvija POPOVIC,Libero,7,22,0,0,0,0,0,0,0.0,0%,99,18,18,29,29%,11%,0,0,0,0,0%,0%,0,0,0.0
Britt RAMPELBERG,Libero,6,22,0,0,0,0,0,0,0.0,0%,108,14,24,26,24%,11%,0,0,0,0,0%,0%,0,0,0.0
Dzenita RASIDOVIC,Libero,4,5,0,0,0,0,0,0,0.0,0%,0,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Joana RESENDE,Libero,5,18,0,0,0,0,0,0,0.0,0%,86,3,17,39,45%,37%,0,0,0,0,0%,0%,0,0,0.0
Matilde RODRIGUES,Libero,1,2,0,0,0,0,0,0,0.0,0%,3,0,0,0,0%,0%,0,0,0,0,0%,0%,0,0,0.0
Panagiota ROGKA,Libero,6,19,0,0,0,0,0,0,0.0,0%,19,0,4,11,58%,53%,0,0,0,0,0%,0%,0,0,0.0
Rene SAIN,Libero,6,20,0,0,0,0,0,0,0.0,0%,76,7,15,23,30%,21%,1,0,0,0,0%,0%,0,0,0.0
Alba M. SANCHEZ,Libero,9,27,0,0,0,0,0,0,0.0,0%,158,8,45,39,25%,17%,0,0,0,0,0%,0%,0,0,0.0
Myrthe SCHOOT,Libero,8,24,0,0,0,0,0,0,0.0,0%,110,7,29,37,34%,22%,0,0,0,0,0%,0%,0,0,0.0
Simge SEBNEM AKOZ,Libero,7,24,0,0,0,0,0,0,0.0,0%,85,3,16,33,39%,31%,0,0,0,0,0%,0%,0,0,0.0
Linda SELMANI,Libero,1,1,0,0,0,0,0,0,0.0,0%,1,1,0,0,0%,-100%,0,0,0,0,0%,0%,0,0,0.0
May SHIR ON,Libero,2,2,0,0,0,0,0,0,0.0,0%,3,0,2,0,0%,-33%,0,0,0,0,0%,0%,0,0,0.0
Sofie SJÖBERG,Libero,12,44,0,0,0,0,0,0,0.0,0%,194,14,62,41,21%,8%,0,0,0,0,0%,0%,0,0,0.0
Nino Skhvediani,Libero,3,6,0,0,0,0,0,0,0.0,0%,23,4,9,3,13%,-13%,0,0,0,0,0%,0%,0,0,0.0
Michaela SPANKOVA,Libero,5,20,0,0,0,0,0,0,0.0,0%,98,2,23,23,23%,17%,0,0,0,0,0%,0%,0,0,0.0
Maria STENZEL,Libero,7,25,0,0,0,0,0,0,0.0,0%,132,6,34,38,29%,17%,2,1,1,0,0%,-100%,0,0,0.0
Zhana TODOROVA,Libero,6,23,0,0,0,0,0,0,0.0,0%,51,2,18,11,22%,12%,0,0,0,0,0%,0%,0,0,0.0
Fruzsina TÓTH,Libero,11,38,0,0,0,0,0,0,0.0,0%,177,15,50,30,17%,3%,0,0,0,0,0%,0%,0,0,0.0
Cecilie WOIE,Libero,3,9,0,0,0,0,0,0,0.0,0%,57,5,15,10,18%,0%,0,0,0,0,0%,0%,0,0,0.0
Tamara ZAYTSEVA,Libero,7,26,0,0,0,0,0,0,0.0,0%,22,0,3,10,45%,45%,0,0,0,0,0%,0%,0,0,0.0
Katrina ZILBERMAN,Libero,6,20,0,0,0,0,0,0,0.0,0%,121,8,46,23,19%,12%,0,0,0,0,0%,0%,0,0,0.0
Elīna ZVAIGZNE,Libero,6,17,0,0,0,1,0,0,0.0,0%,30,4,9,3,10%,-3%,0,0,0,0,0%,0%,0,0,0.0
